Case;Atividade;Inicio;Fim;Tempo(s)
43;Alimentacao de Maquina;19-01-2012 09:59:43;19-01-2012 09:59:53;10
43;Parada de curta duracao;19-01-2012 09:59:53;19-01-2012 10:00:01;8
44;Maquina trabalhando;19-01-2012 10:00:01;19-01-2012 10:00:45;44
44;Retirada do Produto;19-01-2012 10:00:45;19-01-2012 10:00:45;0
44;Alimentacao de Maquina;19-01-2012 10:00:45;19-01-2012 10:00:55;10
44;Parada de curta duracao;19-01-2012 10:00:55;19-01-2012 10:01:02;7
45;Maquina trabalhando;19-01-2012 10:01:02;19-01-2012 10:01:45;43
45;Alimentacao de Maquina;19-01-2012 10:01:45;19-01-2012 10:01:55;10
45;Retirada do Produto;19-01-2012 10:01:46;19-01-2012 10:01:46;0
45;Parada de curta duracao;19-01-2012 10:01:55;19-01-2012 10:02:00;5
46;Maquina trabalhando;19-01-2012 10:02:01;19-01-2012 10:02:44;43
46;Retirada do Produto;19-01-2012 10:02:44;19-01-2012 10:02:44;0
46;Alimentacao de Maquina;19-01-2012 10:02:44;19-01-2012 10:02:54;10
46;Parada de curta duracao;19-01-2012 10:02:54;19-01-2012 10:03:01;7
47;Maquina trabalhando;19-01-2012 10:03:01;19-01-2012 10:03:45;44
47;Retirada do Produto;19-01-2012 10:03:45;19-01-2012 10:03:45;0
47;Alimentacao de Maquina;19-01-2012 10:03:45;19-01-2012 10:03:55;10
47;Parada de curta duracao;19-01-2012 10:03:55;19-01-2012 10:04:19;24
48;Maquina trabalhando;19-01-2012 10:04:19;19-01-2012 10:05:02;43
48;Retirada do Produto;19-01-2012 10:05:02;19-01-2012 10:05:02;0
48;Alimentacao de Maquina;19-01-2012 10:05:02;19-01-2012 10:05:12;10
48;Parada de curta duracao;19-01-2012 10:05:12;19-01-2012 10:05:25;13
49;Maquina trabalhando;19-01-2012 10:05:26;19-01-2012 10:06:09;43
49;Retirada do Produto;19-01-2012 10:06:09;19-01-2012 10:06:09;0
49;Alimentacao de Maquina;19-01-2012 10:06:09;19-01-2012 10:06:19;10
49;Parada de curta duracao;19-01-2012 10:06:19;19-01-2012 10:06:26;7
50;Maquina trabalhando;19-01-2012 10:06:26;19-01-2012 10:07:09;43
50;Alimentacao de Maquina;19-01-2012 10:07:09;19-01-2012 10:07:19;10
50;Retirada do Produto;19-01-2012 10:07:10;19-01-2012 10:07:10;0
50;Parada de curta duracao;19-01-2012 10:07:19;19-01-2012 10:07:24;5
51;Maquina trabalhando;19-01-2012 10:07:24;19-01-2012 10:08:07;43
51;Retirada do Produto;19-01-2012 10:08:07;19-01-2012 10:08:07;0
51;Alimentacao de Maquina;19-01-2012 10:08:07;19-01-2012 10:08:17;10
51;Parada de curta duracao;19-01-2012 10:08:17;19-01-2012 10:08:21;4
52;Maquina trabalhando;19-01-2012 10:08:22;19-01-2012 10:09:05;43
